concept_id,indicator,technical_interpretation,original_mapping_notes,mapped_providers,comparability_decisions
gdp_nominal_market,Nominal GDP at market prices,"Compare current market-price GDP in million AZN, not basic-price value added. Ministry macro aggregates linked production accounts; CAEM canonical GDP is expenditure-framework sheet 5a row 24, while its production-book row 85 remains separate. Oxlon 2025 is an official-history replacement. Retained input and revision boundaries differ.",,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
gdp_real_growth_market,GDP volume growth,"Compare annual volume growth, not nominal growth or a real-GDP index. Macro branch volumes and weights and CAEM structural production/expenditure closure differ from independent Oxlon forecasts. The 2025 source rows are expected, forecast and observed, respectively; IMF Table 1 is a staff estimate/reference. Different base years, weights and information sets prevent attributing the numerical gap solely to model method.","Growth is comparable in concept, but historical precision/revisions and forecast/expected/actual status differ; weights/base years remain model-specific.",4,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
gdp_deflator_growth_market,GDP implicit deflator growth,"An implicit GDP deflator reflects nominal versus volume GDP and differs from consumer inflation. Oxlon 2025 is an accounting-derived identity, not a separately released observed deflator. Reconcile compatible nominal levels, real-growth bases and revisions before comparing the deflator residual.","Oxlon 2025 is an accounting-derived correction, not a separately observed released deflator.",3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
nonoil_gdp_nominal_market,Non-oil GDP market-price classification,The retained Ministry/CAEM oil–non-oil partition and Oxlon official/raw historical partition must remain visible. Market-price GDP includes matching product taxes; basic-price VA and the separately reclassified Oxlon production aggregate cannot be substituted. Historical mapping does not establish a common forecast classification.,CAEM and Ministry retain 2024 near-identical legacy partition; Oxlon canonical2024/2025 non-oil nominal values preserve the official/raw partition; reclassified production-series values are separate. Do not replace these with basic-price VA or a different production partition without a classification bridge.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
nonoil_gdp_real_growth_market,Non-oil market GDP versus published basic-price VA growth,"Ministry macro and CAEM target non-oil market-price GDP including net taxes. The Oxlon FR2 published forecast convention is non-oil basic-price VA growth, with a separately documented production classification. The IMF nonhydrocarbon reference requires its own classification check. Agreement in the historical headline cannot establish equal forecast weighting or coverage.",,4,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
nonoil_basic_value_added,Non-oil basic-price VA,"Basic-price non-oil VA excludes taxes less subsidies on products. CAEM and Oxlon non-oil classification groups differ; the macro canonical output has no approved direct VA mapping. GDP minus matching source taxes is an explicit derived transformation requiring a classification bridge, not an automatic alias.",,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
nonoil_gdp_deflator_growth,Non-oil deflator with partition guard,"Use nominal and real non-oil values from the same partition. CAEM source row 124 is an implicit market-GDP deflator, with a blank 2024 cell; forecast demand-price row 125 is separate. Oxlon historical correction uses the canonical raw partition; reclassified production levels require a separate denominator. No fabricated 2024 observation or common deflator is inserted.",Oxlon canonical2025 correction is consistent with raw 85712.4099→92307.1. Reclassified production nominal levels remain a separate concept.,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
cpi_annual_average_inflation,Annual-average CPI inflation,"Annual-average CPI is distinct from December-on-December CPI. Macro retained expected value, CAEM structural forecast, Oxlon observed 2025 history and IMF staff estimate have different status and information boundaries. CPI equation contributions are reconstructed separately below; their cross-model gaps are not identified causal method effects.","December-on-December CPI is a different series, present in official_2025_actuals.csv as cpi_dec_yoy=5.2; average CPI=5.6.",4,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
fx_usd_annual_average,Annual-average AZN per USD,"Compare annual-average AZN per US dollar; a larger value indicates manat depreciation in this bilateral quotation. A literal source or scenario input is not an estimated forecast merely because it has a future year. End-period quotations, NEER and REER have different definitions. Use each model’s compatible annual-average rate for currency conversions.",,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""}]"
fx_eur_annual_average,Annual-average AZN per EUR,"Compare annual-average AZN per euro. CAEM has no verified annual-average euro result mapping in this comparison. Effective exchange-rate indices are not substitutes for a bilateral euro rate; missing entries remain missing. A dollar/euro cross-rate conversion requires matched quotation, averaging and vintage assumptions.",,3,"[{""models"":[""ministry_macro"",""ministry_caem""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""},{""models"":[""ministry_macro"",""oxlon.corrected.20260917""],""comparable_definition"":true,""comparable_vintage"":false,""reason"":""Same governed definition; different retained source/revision periods""},{""models"":[""ministry_caem"",""oxlon.corrected.20260917""],""comparable_definition"":false,""comparable_vintage"":false,""reason"":""Different or unresolved definition, classification, measurement or coverage; do not alias""}]"
