field,meaning,serialization,missing_value_rule
model_id,Engine/provider identity. Ministry macro and Ministry CAEM are separate Ministry systems.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
scenario_id,"Saved baseline, conditional scenario or benchmark case.",Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
vintage_id,Original dated information set or recorded run identity; not uniformly latest-official.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
series_id,"Native mapped series identifier; compare via governed concept definitions, not this name alone.",Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
concept,Source economic label.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
unit,Original unit string and scale; % and percent are retained source labels.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
frequency,Original time frequency.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
year,Reference period.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
value,"Exact saved numerical value. Blank means unavailable, never zero.",Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
status,"Execution/source status, including preserved source inputs and source errors.",Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
source_file,"Original workbook, data file or notebook provenance.",Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
source_sheet,Original worksheet or saved source section.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
source_cell,Original cell or output locator.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
method,Recorded calculation method.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
data_status,"Economic observation status: observed, expected, forecast, derived or proxy as recorded.",Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
source_value_type,"Literal source input, calculated formula, observed record or derived type where supplied.",Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
reporting_role,Additional original run/source metadata preserved without reinterpretation.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
parent_vintage_id,Additional original run/source metadata preserved without reinterpretation.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
input_vintage_id,Additional original run/source metadata preserved without reinterpretation.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
fr_ids,JSON list of mapped FR1–FR12 identifiers. A mapped record is not an acceptance assertion.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
fr_id,Additional original run/source metadata preserved without reinterpretation.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
error,Original calculation error where recorded.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
coverage_scope,Additional original run/source metadata preserved without reinterpretation.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
price_basis,Source economic price/measurement basis.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
unit_scale_unresolved,Source flag requiring confirmation of the native physical unit scale.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
source_atom_id,Additional original run/source metadata preserved without reinterpretation.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
caveat,Original record-specific interpretation limit.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
primary_source_file,Underlying primary source file where separately mapped.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
primary_source_sheet,Underlying primary source section where separately mapped.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
primary_source_cell,Underlying primary source address where separately mapped.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
transformation,Declared source-to-published conversion where supplied.,Nested lists/objects and booleans use JSON; other fields retain their scalar value.,"Blank denotes unavailable/not supplied, never a numerical zero."
